index	N	x	epsilon	
0	26.043854440548404	12.771952206308896	4.922054264760822
1	26.01372334031612	12.737561710249697	8.118945236559949
2	4834.257397504538	1348.6665789337667	-723331.8635196373
3	6.027265817815628E7	1.1065040318684936E7	-8.604287032550497E9
4	9.304644868321738E11	1.2041996094688931E11	-1.300606317029558E14
5	1.595145084682497E16	1.5658480439344788E15	-2.20652368440086938E18
6	2.9057856613467374E20	2.3292076231261164E19	-3.995971592833483E22
7	5.501103673705199E24	3.851542463825447E23	-7.537806976328201E26
8	1.068961475476414E29	6.912273158731366E27	-1.461276759778953E31
9	2.1161154067942468E33	1.3185552221134144E32	-2.888031361249552E35
10	4.247101756025927E37	2.6278743886058923E36	-5.789550349311002E39
11	8.614290675783204E41	5.400351991042219E40	-1.1732494542307217E44
12	1.7617382555798879E46	1.1334685731532618E45	-2.3978315167075643E48
13	3.6270463281343135E50	2.4136550939731343E49	-4.933993580866717E52
14	7.508140028965533E54	5.190874514117801E53	-1.0209178305182049E57
15	1.5612880011203538E59	1.1239907195584146E58	-2.122206610201829E61
16	3.259105218531517E63	2.445294098088378E62	-4.428682373018002E65
17	6.825534806622992E67	5.337343803792493E66	-9.272652169754887E69
18	1.4335218573257984E72	1.1676670541551291E71	-1.9470550207553302E74
19	3.018172282519479E76	2.5586892401857816E75	-4.098613600454358E78
20	6.368343381248205E80	5.613247685016539E79	-8.646663824989413E82
21	1.3463069436452542E85	1.2324320549909932E84	-1.827694749207119E87
22	2.851060860562377E89	2.707444500678635E88	-3.869995680443915E91
23	6.046959405518455E93	5.950160444726084E92	-8.207129737841817E95
24	1.2843112129649511E98	1.3080234187990487E97	-1.7429291587351449E100
25	2.7311762676067296E102	2.875940080930782E101	-3.706113017237783E104
26	5.8146889762044994E106	6.323999289506078E105	-7.889664895674995E108
27	1.2392469300793743E111	1.3906864944252678E110	-1.681342731889984E113
28	2.6436644842259963E115	3.058267331232544E114	-3.586524983160173E117
29	5.644674099467747E119	6.725396390225531E118	-7.657340857692022E121
30	1.206218914995197E124	1.4789281466060427E123	-1.6362098409362892E126
31	2.579538423167233E128	3.2520396431764306E127	-3.4988921876364005E130
32	5.520305438636509E132	7.15053814489247E131	-7.487366448411575E134
33	1.1821388026469053E137	1.5721416460811082E136	-1.6032949544049707E139
34	2.533023307600996E141	3.4563013535064274E140	-3.4352987139561568E143
35	5.43072917756851E145	7.59794679682693E144	-7.364870182864228E147
36	1.1649568436524804E150	1.670105730545449E149	-1.579790730289614E152
37	2.500231035611108E154	3.670739752131635E153	-3.3904213994250633E156
38	5.368539797978169E158	8.067228462504708E157	-7.279716721966461E160
39	1.1532571481088369E163	1.7727837956366244E162	-1.563759967118184E165
40	2.4784448787727284E167	3.8953600739412115E166	-3.360544339529183E169
41	5.328507295810565E171	8.55854254444543E170	-7.224754471994135E173
42	1.1460297614277899E176	1.8802365543327044E175	-1.553821982735924E178
43	2.4657088848825067E180	4.130340577814964E179	-3.3429942266506546E182
44	5.306833360865255E184	9.072359422292613E183	-7.194793197588128E186
45	1.142535208518963E189	1.9925812235164163E188	-1.5489665184633206E191
46	2.460579982160796E193	4.3759633145747364E192	-3.3357999303323367E195
47	5.300695593361507E197	9.60934221535418E196	-7.185978382520964E199
48	1.1422203248101027E202	2.109971199622195E201	-1.5484382477620245E204
49	2.4619718999709958E206	4.632578974527901E205	-3.3374784127057654E208
